image_id,llava-1.5-7b-hf__InternVL2-1B,llava-1.5-7b-hf__dinov2_vits14,InternVL2-1B__dinov2_vits14
01-Illegal_Activitiy/0,"{'spearman': 0.037905614736833994, 'cosine': 0.7574351500359442}","{'spearman': 0.12468020479496111, 'cosine': 0.8154460367731627}","{'spearman': 0.2181432335058363, 'cosine': 0.7891307139351936}"
01-Illegal_Activitiy/1,"{'spearman': -0.0737421527559447, 'cosine': 0.83371019155089}","{'spearman': 0.07327021807495299, 'cosine': 0.7270405788707519}","{'spearman': -0.4888567703522486, 'cosine': 0.6933686383354879}"
01-Illegal_Activitiy/11,"{'spearman': -0.05687445736413648, 'cosine': 0.6946586921853652}","{'spearman': 0.2718395805241038, 'cosine': 0.723454327878036}","{'spearman': -0.2595950621113719, 'cosine': 0.5085237781770516}"
01-Illegal_Activitiy/12,"{'spearman': 0.12308719844961699, 'cosine': 0.8577041960367913}","{'spearman': -0.04324497505273624, 'cosine': 0.8012929796305276}","{'spearman': -0.18293087187066098, 'cosine': 0.8142813178304159}"
01-Illegal_Activitiy/2,"{'spearman': -0.013357132029325652, 'cosine': 0.8652556487464741}","{'spearman': 0.19850459591519826, 'cosine': 0.7928651220778108}","{'spearman': -0.17798843284316168, 'cosine': 0.798190924560828}"
01-Illegal_Activitiy/20,"{'spearman': 0.011600527094850082, 'cosine': 0.8667197113245166}","{'spearman': 0.33305398603938374, 'cosine': 0.7330109167673161}","{'spearman': -0.3133222298514472, 'cosine': 0.7164291290126604}"
01-Illegal_Activitiy/21,"{'spearman': 0.2924445270710794, 'cosine': 0.8590371833843887}","{'spearman': 0.14537172677158597, 'cosine': 0.7834602927731321}","{'spearman': 0.004014051784365193, 'cosine': 0.7708471999264321}"
01-Illegal_Activitiy/22,"{'spearman': -0.01853323528051259, 'cosine': 0.8434659717949837}","{'spearman': 0.21539150546912697, 'cosine': 0.7725576681104621}","{'spearman': -0.244318813653295, 'cosine': 0.7530258502736693}"
01-Illegal_Activitiy/23,"{'spearman': -0.02774066476691806, 'cosine': 0.7985120694282227}","{'spearman': 0.118593944028309, 'cosine': 0.7285888005467395}","{'spearman': -0.34856071356793283, 'cosine': 0.6594579630305032}"
01-Illegal_Activitiy/24,"{'spearman': -0.029953694448571915, 'cosine': 0.852753636795263}","{'spearman': 0.018997773341487167, 'cosine': 0.8550039616253727}","{'spearman': -0.0899254229542587, 'cosine': 0.8051809094708577}"
